"Title","Publisher","Document date","Document type","Topic","Review status","Summary","Source URL","Document location and context","Access checked","Record reference","Year","Review status explanation","Research checked","Collection scope","Closure status caveat"
"Councillor Julia Cambridge: official committee role","London Borough of Richmond upon Thames","","Directory","Decision process","Reviewed","Official profile identifies Councillor Julia Cambridge as chair of the Education and Children’s Services Committee. Only this relevant public role is summarised; inclusion does not establish a view on Kew Riverside.","https://cabnet.richmond.gov.uk/mgUserInfo.aspx?UID=11324","Position and committee appointments matched to the committee directory on 21 September 2026. No personal contact information or image is reproduced.","2026-09-21","committee-chair","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Councillor Michael Wilson: official committee role","London Borough of Richmond upon Thames","","Directory","Decision process","Reviewed","Official profile identifies Councillor Michael Wilson as vice-chair of the Education and Children’s Services Committee. Only this relevant public role is summarised; inclusion does not establish a view on Kew Riverside.","https://cabnet.richmond.gov.uk/mgUserInfo.aspx?UID=10582","Position and committee appointments matched to the committee directory on 21 September 2026. No personal contact information or image is reproduced.","2026-09-21","committee-vice-chair","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: 10 September 2026 meeting record","London Borough of Richmond upon Thames","2026-09-10","Committee record","Decision process","Reviewed","Published agenda and decisions reviewed for the decision trail. No Kew-specific closure resolution was located in this meeting record. A work-programme item is not attributed as a vote to close Kew Riverside.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=800&MId=500000747&Ver=4","Meeting of 10 September 2026; agenda and decisions page checked 21 September 2026.","2026-09-21","committee-september-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee: 12 November 2026 meeting page","London Borough of Richmond upon Thames","","Directory","Decision process","Reviewed","Meeting listed for 12 November 2026. As checked on 21 September, the agenda had not been published. The leaflet plans a November committee stage, but this calendar entry alone does not verify a Kew-specific item or a decision.","https://cabnet.richmond.gov.uk/ieListDocuments.aspx?CId=800&MId=500000748&Ver=4","Future meeting page, checked 21 September 2026; not minutes or evidence that any decision has occurred.","2026-09-21","committee-november-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Richmond school organisation: the two current proposals","Richmond Council","2026-09-21","Consultation","Decision process","Reviewed","Council overview of two pre-statutory proposals intended for 1 September 2027: closing Kew Riverside, and combining Hampton Wick Infant and Nursery with St John the Baptist Junior into a 210-place primary school with nursery. Neither proposal is a final decision.","https://www.richmond.gov.uk/services/children_and_family_care/schools_and_colleges/school_organisation_consultations","Page updated 21 September 2026. The Hampton Wick proposal involves closing one legal school and extending the age range of the other; it is not a precedent establishing that the same arrangement is viable at Kew.","2026-09-22","organisation-overview-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School census: January 2026 school-level pupil data","Department for Education","2026-06-04","Official dataset","Demand & housing","Reviewed","Official school-level underlying data for the January 2026 census. The comparison uses Richmond state-funded primary schools and totals Reception through Year 6 from the full-time and part-time male and female fields; nursery is excluded. Kew Riverside totals 84 pupils in those year groups.","https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore","Release first published 4 June 2026 and updated 14 July 2026. Supporting files: School level underlying data 2026. Filter new_la_code=E09000027 and phase_type_grouping=State-funded primary; join schools by URN. January 2026 is a measured snapshot, not September 2026 and not the council leaflet’s 2026/27 forecast.","2026-09-22","school-census-jan-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School capacity and pupils on roll: May 2025 comparison","Department for Education","2026-03-19","Official dataset","Demand & housing","Reviewed","Official Capacity – school dataset, including capacity and pupils on roll for individual schools. The 2024/25 snapshot records Kew Riverside at 90 pupils against 210 places. Comparable Richmond primary-school rows support a dated occupancy comparison; recorded capacity does not establish available places in each year group.","https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37","Dataset published 19 March 2026. Capacity snapshot: 1 May 2025; pupil rolls: May 2025 census. Fields school_urn, school_name, school_places and pupils_on_roll_count; filter new_la_code=E09000027 and education_phase=Primary. Earlier snapshots use time_period 202122 to 202425. Do not combine this denominator with a later census without labelling the different dates.","2026-09-22","school-capacity-may-2025","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Hampton Wick and St John the Baptist: amalgamation proposal","Richmond Council","","Consultation","Decision process","Reviewed","Consultation proposal for one 210-place primary school plus retained nursery, initially using both buildings and later one site when pupil numbers permit. Current pupils would have guaranteed places. School designation, which legal school closes and the eventual site remain matters for the decision process. This is not an approved merger.","https://www.richmond.gov.uk/media/zaxlziiv/hampton_wick_st_john_the_baptist_consultation_leaflet.pdf","Pre-statutory consultation leaflet, September/October 2026; publication date not stated. Printed pages 3 and 6–9 (PDF pages 4 and 7–10) explain capacity, legal mechanism, unresolved choices and the conditional 1 September 2027 implementation date. Comparing proposals does not establish that amalgamation or shared leadership would be viable at Kew Riverside.","2026-09-22","hampton-wick-proposal-2026","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Maintained-school balances at 31 March 2026","London Borough of Richmond upon Thames","","Committee record","Funding & buildings","Reviewed","The council records Kew Riverside's revenue balance at £231,685.09 on 31 March 2026, down £75,103.70 from a year earlier. Capital balances are separate. This dated actual does not show cash available today or the missing forecast bridge.","https://cabnet.richmond.gov.uk/documents/s500020983/Item%206%20Appendix%20A.pdf","Appendix A associated with the 25 June 2026 Schools Forum, page 1, Kew Riverside row; revenue and capital columns. Document publication date not stated.","2026-09-23","school-balances-mar-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School organisation report: June 2026 Part A","London Borough of Richmond upon Thames","2026-06-11","Committee record","Demand & housing","Reviewed","The June committee report records a 2031/32 Kew planning-area forecast of 514 pupils and distinguishes temporary admission capacity, admission capacity and net capacity. It says the Kew PFI expires in 2032. These are June figures and definitions, not the later leaflet forecast or closure savings.","https://cabnet.richmond.gov.uk/documents/s500020721/11.%20School%20Organisation%20Report%20-%2011%20June%202026-%20Part%20A.pdf","11 June 2026 committee report, PDF pages 3–4 (forecast and capacity table), paragraph 3.23 (PFI). Kew planning area is not Kew Riverside alone.","2026-09-23","school-organisation-june-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Education Committee decisions: 11 June 2026","London Borough of Richmond upon Thames","2026-06-11","Committee record","Decision process","Reviewed","The decisions record gives a general delegation for taking school-organisation proposals to pre-statutory consultation after assessment and discussions, in consultation with the committee chair. It is not a Kew-specific closure decision or proof of any instruction restricting visits.","https://cabnet.richmond.gov.uk/ieDecisionDetails.aspx?ID=500001440","Council decision details page, School Organisation, resolution (b), 11 June 2026. The former decisions PDF link no longer resolves; this official page gives the decision text.","2026-09-23","school-organisation-decisions-june-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Local-authority pupil forecasts: 2024/25 SCAP data","Department for Education","2026-03-19","Official dataset","Demand & housing","Reviewed","The 2025 vintage forecasts 651 pupils in Reception–Year 6 and 88 in Reception for the Kew planning area in 2025/26. The matched January 2026 school census gives 654 and 97. This one-year, area-level check is not a forecast for Kew Riverside alone or a long-term accuracy verdict.","https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/64501ba1-ae89-40e0-9cf5-552a5f1ea6d1","Dataset published 19 March 2026; planning_area_code 3180007, Primary, 202526, Primary total and Reception. Compared with January 2026 census for URNs 133343, 102884 and 102921, excluding nursery.","2026-09-23","kew-area-forecast-2025","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"School organisation: borough equality impact and needs analysis","London Borough of Richmond upon Thames","","Committee record","Decision process","Reviewed","This borough-wide assessment says detailed school-specific assessments for pupils and staff should follow as proposals proceed. A separate Kew assessment was not located in the public material reviewed; that does not establish that none exists or that the equality duty was breached.","https://cabnet.richmond.gov.uk/documents/s500020722/11.%20School%20Organisation%20LBR%20EINA.pdf","June 2026 committee appendix; approved 14 May 2026. PDF pages 1–2 describe scope; page 15 lists school-specific assessment action. Document publication date not stated.","2026-09-23","school-organisation-eina-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Making significant changes to maintained schools","Department for Education","2025-08","Guidance","Decision process","Reviewed","Guidance describes an existing-school amalgamation route that can close one school while changing a surviving school, including its age range or site. Additional-site and reserved SEND proposals have separate requirements. This route is legally available in principle, not shown deliverable for Kew.","https://assets.publishing.service.gov.uk/media/68947395ad0cbc0e276430d8/making-significant-changes-prescribed-alterations-to-maintained-schools.pdf","August 2025 edition; PDF pages 11–12 on additional sites and page 23 on amalgamations. Current linked edition checked 23 September 2026.","2026-09-23","prescribed-alterations-2025","2025","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Opening new schools: current statutory guidance","Department for Education","2026-09-03","Guidance","Decision process","Reviewed","Guidance in force from 1 September 2026 describes local-authority proposals for a replacement maintained school under the changed law; earlier proposals have transitional rules. It does not make a particular Kew replacement necessary, affordable or approved.","https://www.gov.uk/government/publications/opening-new-schools","GOV.UK page updated 3 September 2026; linked September 2026 guidance, PDF pages 9 and 31–32 for decision-maker and replacement-school route.","2026-09-23","opening-new-schools-2026","2026","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside reported income history","Department for Education","","Official dataset","Funding & buildings","Reviewed","Reported school income for financial years ending March 2022–2026. These are rounded historical actuals, not 2026/27 budget income or guaranteed revenue for additional pupils.","https://financial-benchmarking-and-insights-tool.education.gov.uk/api/income/history?type=school&id=133343&dimension=Actuals","FBIT public income-history response; school 133343, Actuals, rows year 2022–2026. Year denotes the March financial-year end. Publication date not stated.","2026-09-23","kew-finance-income-history","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside reported expenditure history","Department for Education","","Official dataset","Funding & buildings","Reviewed","Reported school expenditure for financial years ending March 2022–2026, including a 2025/26 PFI charge of £69,640. The school charge is not the council-wide contract liability or an avoidable saving on closure.","https://financial-benchmarking-and-insights-tool.education.gov.uk/api/expenditure/history?type=school&id=133343&dimension=Actuals","FBIT public expenditure-history response; school 133343, Actuals, rows year 2022–2026 and PFI expenditure field. Publication date not stated.","2026-09-23","kew-finance-expenditure-history","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
"Kew Riverside reported revenue-balance history","Department for Education","","Official dataset","Funding & buildings","Reviewed","Reported school revenue balances for financial years ending March 2022–2026. The March 2026 figure is rounded in this service; the council balance appendix separately gives £231,685.09. A revenue reserve is not the same as an annual result.","https://financial-benchmarking-and-insights-tool.education.gov.uk/api/balance/history?type=school&id=133343&dimension=Actuals","FBIT public balance-history response; school 133343, Actuals, rows year 2022–2026. Publication date not stated.","2026-09-23","kew-finance-balance-history","Undated","The public document or webpage was retrieved and reviewed for the stated summary; this is not validation of all its claims.","2026-09-23","Curated public-record index; not exhaustive. Original documents remain with their publishers.","Pre-statutory consultation on closure effective 1 September 2027. Council-linked form states response deadline 16 October 2026. Later committee and statutory stages are planned and conditional; no final closure decision verified. Checked 21 September 2026."
